Disease,Precautions,Description,Foods to take,Foods to avoid
Asthma,"avoid triggers, use inhaler, regular checkups, stay active","A chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to difficulty breathing.","Leafy greens, apples, ginger, turmeric, salmon (rich in omega-3)","Processed foods, dairy products, fried foods, sulfites (found in wine), artificial additives"
Bronchitis,"quit smoking, stay hydrated, rest, avoid irritants","Inflammation of the bronchial tubes, often caused by infection or exposure to irritants, resulting in persistent cough and mucus production.","Warm soups, garlic, honey, ginger, turmeric, herbal teas","Dairy products, cold beverages, processed foods, sugary snacks"
Chickenpox,"rest, stay hydrated, avoid scratching, calamine lotion","A highly contagious viral infection causing an itchy rash and flu-like symptoms, primarily affecting children.","Oatmeal, smoothies, fruits (like bananas and apples), leafy vegetables, yogurt","Spicy foods, acidic foods (like tomatoes and citrus), salty snacks, fried foods"
Dengue,"use mosquito repellent, wear long sleeves, avoid stagnant water, stay hydrated","A mosquito-borne viral infection causing severe flu-like symptoms and, in severe cases, bleeding and organ damage.","Papaya leaves juice, pomegranate, coconut water, citrus fruits, green leafy vegetables","Oily foods, spicy foods, caffeine"
Eczema,"moisturize regularly, avoid triggers, use medicated creams, avoid scratching","A chronic skin condition causing inflammation, itching, and redness, often triggered by allergens or irritants.","Fatty fish, leafy greens, probiotics (like yogurt), apples, oatmeal","Dairy, gluten, processed foods, sugar, soy"
Flu,"rest, stay hydrated, over-the-counter pain relief, avoid close contact","A contagious respiratory illness caused by influenza viruses, leading to fever, aches, and respiratory symptoms.","Chicken soup, herbal teas, garlic, ginger, citrus fruits, honey","Dairy, sugar, caffeine, processed foods"
Gastritis,"eat smaller meals, avoid spicy food, avoid alcohol, take antacids","Inflammation of the stomach lining, often caused by infection, stress, or certain medications, leading to digestive discomfort.","Bananas, apples, oatmeal, boiled vegetables, lean meats","Spicy foods, acidic foods (like citrus and tomatoes), fried foods, alcohol"
Hepatitis B,"avoid alcohol, avoid hepatotoxic medications, get vaccinated, rest","A viral infection that attacks the liver, causing inflammation and potentially leading to chronic liver disease.","Fresh fruits, leafy vegetables, whole grains, nuts, lean proteins","Alcohol, fatty foods, processed foods, high-sodium foods"
Influenza,"rest, stay hydrated, take antiviral medication, avoid close contact","A viral infection affecting the respiratory system, causing fever, aches, and respiratory symptoms.","Warm broth, honey, ginger, garlic, citrus fruits","Sugary foods, processed foods, alcohol, fried foods"
Jaundice,"rest, avoid fatty foods, drink plenty of fluids, take prescribed medications","A condition characterized by yellowing of the skin and eyes due to elevated bilirubin levels, often indicating liver issues.","Carrots, tomatoes, spinach, beets, green tea, herbal teas","Fried foods, oily foods, red meat, processed sugars"
Kidney Stones,"drink plenty of water, avoid salt, take pain relievers, medical consultation","Hard deposits formed in the kidneys, causing severe pain and urinary issues when passing through the urinary tract.","Water, lemon juice, whole grains, green vegetables, low-sodium foods","Excess salt, animal protein, oxalate-rich foods (like spinach, beets), sugary drinks"
Lupus,"rest, use sun protection, take pain relief, get regular checkups","An autoimmune disease where the immune system attacks healthy tissues, causing inflammation and damage to various body parts.","Fatty fish, chia seeds, turmeric, ginger, colorful vegetables","Red meat, processed foods, saturated fats, alcohol"
Malaria,"use mosquito repellent, sleep under mosquito nets, take antimalarial drugs, stay hydrated","A mosquito-borne infectious disease caused by Plasmodium parasites, leading to severe flu-like symptoms and potentially fatal complications.","Orange juice, papaya, coconut water, lean meats, boiled vegetables","Fatty foods, spicy foods, caffeine, alcohol"
Nasal Polyp,"use nasal sprays, avoid allergens, surgery if severe, regular checkups","Noncancerous growths in the nasal passages or sinuses, causing breathing difficulties and reduced sense of smell.","Omega-3 rich foods (like fish), fruits, green leafy vegetables","Dairy, refined sugar, gluten, processed foods"
Osteoporosis,"consume calcium and vitamin D, engage in weight-bearing exercise, avoid smoking, regular bone density tests","A condition where bones become weak and brittle, increasing the risk of fractures.","Dairy products, leafy greens, almonds, fatty fish, fortified cereals","Salt, caffeine, soft drinks, alcohol"
Pneumonia,"get vaccinated, take antibiotics, rest, stay hydrated","An infection that inflames the air sacs in one or both lungs, causing cough, fever, and difficulty breathing.","Chicken soup, herbal teas, ginger, garlic, citrus fruits","Dairy, sugar, caffeine, fried foods"
Quinsy,"antibiotics, pain relief, avoid spicy foods, medical consultation","A complication of tonsillitis where pus forms near the tonsils, causing severe throat pain and difficulty swallowing.","Warm soups, honey, herbal teas, mashed vegetables, yogurt","Cold foods, spicy foods, sugary drinks, fried foods"
Rabies,"get vaccinated, avoid animal bites, seek medical attention, wound care","A viral disease transmitted through animal bites, causing severe neurological symptoms and often fatal if untreated.","High-protein foods, fruits, vegetables","Caffeine, alcohol, junk foods"
Sinusitis,"use nasal sprays, take pain relief, rest, stay hydrated","Inflammation of the sinuses, causing pain, congestion, and difficulty breathing.","Warm soups, ginger, garlic, herbal teas, pineapple","Dairy, sugar, fried foods, spicy foods"
Tetanus,"get vaccinated, wound care, take prescribed medications, seek medical attention","A bacterial infection causing severe muscle stiffness and spasms, often following a wound or cut.","Fruits, vegetables, whole grains, lean protein","Processed foods, sugary snacks, alcohol"
Urinary Tract Infection,"drink plenty of fluids, maintain good hygiene, take antibiotics, avoid irritants","An infection in any part of the urinary system, causing pain and frequent urination.","Cranberry juice, water, blueberries, probiotics, cucumbers","Spicy foods, alcohol, caffeine, acidic foods (like oranges and lemons)"
Vertigo,"rest, avoid sudden head movements, take prescribed medications, stay hydrated","A sensation of spinning or dizziness, often caused by inner ear problems.","Whole grains, ginger, almonds, citrus fruits","Caffeine, alcohol, high-sodium foods"
Whooping Cough,"get vaccinated, avoid close contact with infected, take prescribed medications, rest","A highly contagious respiratory disease causing severe coughing fits, particularly dangerous for infants.","Warm soups, honey, herbal teas, soft fruits, yogurt","Dairy, cold foods, processed foods, fried foods"
Xerosis,"moisturize regularly, avoid hot water, use gentle soaps, protect skin from dry air","Abnormally dry skin, often caused by environmental factors or underlying health conditions.","Omega-3 rich foods (like salmon), nuts, avocado, olive oil","Sugary foods, caffeine, processed snacks"
Zika Virus,"use mosquito repellent, wear long sleeves, avoid travel to affected areas, stay hydrated",A mosquito-borne virus causing mild symptoms in adults but can cause severe birth defects if contracted during pregnancy.,"Hydrating foods, citrus fruits, leafy greens, lean proteins","Caffeine, processed foods, alcohol"
Tuberculosis,"take prescribed antibiotics, avoid close contact with others, maintain good hygiene, regular medical checkups","A bacterial infection affecting the lungs, causing severe cough and respiratory issues.","Milk, fruits, lean meats, green leafy vegetables","Alcohol, caffeine, processed foods"
Measles,"get vaccinated, avoid close contact with infected individuals, rest, stay hydrated","A highly contagious viral infection causing fever, cough, and a characteristic rash.","Orange juice, papaya, honey, herbal teas, oatmeal","Spicy foods, fried foods, sugary snacks"
Mumps,"get vaccinated, avoid close contact with infected individuals, rest, stay hydrated","A viral infection causing swelling of the salivary glands, fever, and muscle aches.","Soft foods, soup, herbal teas, mashed potatoes, yogurt","Acidic foods, spicy foods, sugary snacks"
Cholera,"drink safe water, maintain good sanitation, take oral rehydration salts, seek medical attention","A bacterial infection causing severe diarrhea and dehydration, often spread through contaminated water.","Boiled vegetables, rice, bananas, coconut water","Raw foods, dairy, fatty foods, spicy foods"
Chikungunya,"use mosquito repellent, wear long sleeves, avoid mosquito bites, stay hydrated",A mosquito-borne viral disease causing fever and severe joint pain.,"Papaya leaves juice, green leafy vegetables, lean meats, fruits","Fatty foods, processed foods, sugary snacks"
Typhoid Fever,"drink safe water, maintain good sanitation, get vaccinated, take prescribed antibiotics","A bacterial infection spread through contaminated food and water, causing high fever and digestive issues.","Bananas, porridge, boiled potatoes, soft vegetables","Spicy foods, fried foods, dairy, alcohol"
Meningitis,"get vaccinated, avoid close contact with infected individuals, maintain good hygiene, seek medical attention","Inflammation of the protective membranes covering the brain and spinal cord, causing severe headache and fever.","Fruits, lean proteins, leafy greens, whole grains","Caffeine, processed foods, sugary snacks"
Leptospirosis,"avoid contact with contaminated water, wear protective clothing, maintain good hygiene, seek medical attention","A bacterial infection spread through contact with contaminated water, causing fever and jaundice.","Fresh fruits, green vegetables, lean proteins","Processed foods, red meat, alcohol"
HIV/AIDS,"practice safe sex, avoid sharing needles, take antiretroviral medications, regular medical checkups","A viral infection that attacks the immune system, leading to severe immune deficiency.","Leafy greens, fruits, whole grains, lean protein","Alcohol, processed foods, sugary snacks"
Ebola,"avoid contact with infected individuals, practice good hygiene, seek medical attention, follow public health guidelines","A severe viral hemorrhagic fever causing high mortality, spread through contact with bodily fluids of infected individuals.","High-protein foods, fruits, vegetables, hydration fluids","Alcohol, caffeine, processed foods"
Alzheimer’s Disease,"maintain a healthy diet, regular exercise, mental stimulation, social engagement",A progressive neurological disorder causing memory loss and cognitive decline.,"Berries, leafy greens, nuts, fatty fish, olive oil","Processed foods, refined sugars, trans fats"
Anemia,"eat iron-rich foods, take iron supplements, avoid excessive caffeine, regular checkups","A condition where the blood lacks enough healthy red blood cells, leading to fatigue and weakness.","Spinach, lean red meat, beans, iron-fortified cereals, citrus fruits","Coffee, tea, dairy, high-fiber foods (with meals)"
Addison’s Disease,"take prescribed medications, regular medical checkups, manage stress, maintain a balanced diet","A rare disorder where the adrenal glands do not produce enough hormones, leading to various symptoms and requiring lifelong hormone replacement therapy.","Salted foods, lean proteins, fruits, vegetables, dairy","Processed foods, alcohol, caffeine"
Acne,"maintain good hygiene, avoid oily products, use prescribed medications, avoid picking at skin","A common skin condition causing pimples and other lesions, often due to clogged hair follicles and excess oil production.","Leafy greens, fruits, nuts, fatty fish","Sugary foods, dairy, fried foods"
Anorexia Nervosa,"seek psychological therapy, maintain a balanced diet, regular medical checkups, support from family and friends","An eating disorder characterized by an intense fear of gaining weight and a distorted body image, leading to severe weight loss and health complications.","Nutrient-rich foods (like fruits, vegetables, lean proteins), healthy fats","Junk foods, processed foods, caffeine"
Bipolar Disorder,"take prescribed medications, regular therapy sessions, maintain a routine, avoid stress","A mental health condition causing extreme mood swings, including emotional highs (mania) and lows (depression).","Omega-3 rich foods (like fish), nuts, seeds, vegetables","Alcohol, caffeine, processed foods"
Cervical Cancer,"get regular Pap smears, HPV vaccination, avoid smoking, practice safe sex","A type of cancer that occurs in the cells of the cervix, often caused by the human papillomavirus (HPV).","Leafy greens, berries, citrus fruits, lean proteins","Processed foods, alcohol, red meat"
Chronic Fatigue Syndrome,"manage stress, regular gentle exercise, maintain a balanced diet, seek medical advice",A complex disorder characterized by extreme fatigue that cannot be explained by any underlying medical condition.,"Whole grains, fruits, lean proteins, nuts","Sugary foods, processed foods, caffeine"
Cystic Fibrosis,"take prescribed medications, regular physiotherapy, maintain a high-calorie diet, avoid lung irritants","A genetic disorder affecting the lungs and digestive system, causing severe respiratory and digestive problems.","High-calorie foods, whole grains, dairy products, lean proteins","High-sodium foods, alcohol, caffeine"
Deep Vein Thrombosis (DVT),"avoid prolonged immobility, stay hydrated, wear compression stockings, take prescribed medications","A condition where a blood clot forms in a deep vein, usually in the legs, which can lead to serious complications if not treated.","Leafy greens, whole grains, fruits","Foods high in vitamin K (like spinach, kale), alcohol"
Eczema (Atopic Dermatitis),"moisturize regularly, avoid triggers, use medicated creams, avoid scratching","A chronic skin condition causing inflammation, itching, and redness, often triggered by allergens or irritants.","Leafy greens, fatty fish, fruits, whole grains","Processed foods, red meat, caffeine"
Endometriosis,"take prescribed medications, regular medical checkups, maintain a healthy diet, consider surgery if severe","A disorder where tissue similar to the lining inside the uterus grows outside the uterus, causing pain and potentially leading to fertility issues.","Cherries, whole grains, dairy, water, green vegetables","Red meat, organ meat, alcohol, high-purine foods"
Gastroenteritis,"maintain good hygiene, drink plenty of fluids, avoid contaminated food and water, rest","An inflammation of the stomach and intestines, often caused by infection, leading to diarrhea and vomiting.","Lean proteins, whole grains, fruits, leafy greens","Alcohol, processed foods, sugary snacks"
Gout,"avoid high-purine foods, stay hydrated, take prescribed medications, maintain a healthy weight","A form of arthritis characterized by sudden, severe attacks of pain, redness, and tenderness in joints, often the big toe.","Leafy greens, cruciferous vegetables (like broccoli), berries","Caffeine, soy products, sugary foods"
Hepatitis C,"avoid sharing needles, practice safe sex, avoid alcohol, get regular medical checkups","A viral infection causing liver inflammation, which can lead to serious liver damage if untreated.","Iodine-rich foods (like fish), whole grains, fruits, lean proteins","Processed foods, soy products, gluten"
Hyperthyroidism,"take prescribed medications, avoid excessive iodine, regular medical checkups, manage stress","A condition where the thyroid gland produces too much thyroid hormone, leading to a hypermetabolic state.","Probiotics, lean meats, bananas, oatmeal","Dairy, spicy foods, caffeine, beans"
Hypothyroidism,"take prescribed medications, maintain a healthy diet, regular exercise, regular medical checkups","A condition where the thyroid gland does not produce enough thyroid hormone, leading to a slowed metabolic rate.","Leafy greens, lean proteins, fruits, whole grains","Sugary foods, processed foods, alcohol"
Irritable Bowel Syndrome (IBS),"follow a balanced diet, avoid trigger foods, manage stress, regular exercise","A common disorder affecting the large intestine, causing symptoms like cramping, abdominal pain, bloating, gas, and diarrhea or constipation.","Omega-3 rich foods, leafy greens, fruits, nuts","Processed foods, sugar, alcohol"
Lyme Disease,"avoid tick bites, use insect repellent, wear protective clothing, seek medical attention if bitten","A bacterial infection transmitted by tick bites, causing symptoms ranging from rash to severe neurological issues.","Omega-3 rich foods, berries, leafy greens, lean protein","Sugary foods, high-fat foods, alcohol"
Multiple Sclerosis (MS),"take prescribed medications, physical therapy, manage stress, regular medical checkups","A chronic illness involving the central nervous system, where the immune system attacks the protective sheath (myelin) covering nerve fibers.","Omega-3 rich foods, fruits, vegetables, lean proteins","Processed foods, sugary snacks, alcohol"
Parkinson’s Disease,"take prescribed medications, regular exercise, physical therapy, manage stress","A progressive nervous system disorder affecting movement, causing tremors, stiffness, and difficulty with balance and coordination.","Omega-3 rich foods, leafy greens, berries, olive oil","Sugary foods, processed foods, fried foods"
Psoriasis,"use moisturizers, avoid triggers, take prescribed medications, light therapy","A chronic skin condition causing red, scaly patches, often associated with itching and pain.","Fruits, leafy greens, lean proteins, water"," Processed foods, sugary snacks, alcohol"
Rheumatoid Arthritis,"take prescribed medications, regular exercise, physical therapy, manage stress","An autoimmune disorder causing chronic inflammation of the joints, leading to pain and potential joint damage.","Leafy greens, berries, whole grains, lean proteins","Processed foods, salt, alcohol"
Sickle Cell Disease,"stay hydrated, avoid extreme temperatures, take prescribed medications, regular medical checkups","A group of inherited red blood cell disorders causing misshapen red blood cells, leading to various health complications.","Iodine-rich foods, leafy greens, fruits, lean meats","Sugary foods, processed foods, high-fat foods"
Stroke,"maintain a healthy diet, regular exercise, avoid smoking, manage blood pressure","A medical emergency where blood flow to a part of the brain is interrupted, causing brain cells to die.","Oatmeal, lean proteins, boiled vegetables, bananas","Dairy, spicy foods, caffeine"
Thyroid Cancer,"regular medical checkups, avoid radiation exposure, take prescribed medications, follow treatment plan","A type of cancer that occurs in the thyroid gland, often detected as a lump in the neck.","Hydrating foods, soups, herbal teas, fruits, honey","Fried foods, sugar, processed foods"
Ulcerative Colitis,"follow a balanced diet, avoid trigger foods, take prescribed medications, regular medical checkups",A chronic inflammatory bowel disease causing inflammation and ulcers in the digestive tract.,"Water, ginger tea, fruits (especially watermelon, berries)","Caffeine, alcohol, processed foods"
Common Fever,"Stay hydrated by drinking plenty of fluids,Rest as much as possible,Use a cool compress to reduce body temperature."," Fever is a temporary increase in body temperature, often due to an illness.","Chicken soup, honey, ginger, garlic, citrus fruits","Dairy, sugar, caffeine, fried foods"
Common Headache,"Maintain good posture,Stay hydrated, Avoid stress and get adequate sleep",A headache is pain or discomfort in the head or face area.,,
Common Cold,"Wash hands frequently,Avoid close contact with infected individuals,Use tissues when sneezing or coughing.","A cold is a viral infection of the upper respiratory tract, primarily affecting the nose and throat",,
